Official Code 2001 Edition,Act Number,Section of Act,Law Number,Type of Change,Act Type,Expiration Date,Bill Title,DCR Cite
01-0125,20-481,101(a),NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
01-0126,20-481,101(a),NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
01-0129.01,20-481,101(b),NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
01-0129.11,20-481,101(b),NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
01-0129.21,20-481,105,NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
01-0129.21 - .24,20-481,101(b),NA,"Note, New Sec",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
01-0136.01 - .03,20-481,102,NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
01-0137.08,20-424,1122,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0137.08,20-377,1122,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0137.08,20-449,1122,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0165.01 - .02,20-532,2 - 3,PEND,New Section,,,"DC Rocks, So We Need One Act of 2014",62-00012
01-0182,20-424,1102(a),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0182,20-449,1102(a),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0182,20-377,1102(a),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0183,20-424,1102(b),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0183,20-377,1102(b),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0183,20-449,1102(b),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0204.22,20-481,401,NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
01-0301.115a,20-562,2,PEND,Amend,P,,Inspector General Qualifications Amendment Act of 2014,62-00489
01-0301.115a,20-464,2,NA,Note,E,02/04/15,Inspector General Qualifications Emergency Amendment Act of 2014,61-11828
01-0301.115a,20-505,2,PEND,Note,T,,Inspector General Qualifications Temporary Amendment Act of 2014,61-12711
01-0301.154,20-449,1112,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0301.154,20-424,1112,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0301.154,20-377,1112,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0301.155,20-424,1142,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0301.155,20-449,1142,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0301.155,20-377,1143,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0301.155,20-377,1142,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0301.156,20-449,7132,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0301.156,20-377,7142,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0301.156,20-424,7132,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0301.157,20-449,7133,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0301.157,20-424,7133,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
01-0301.157,20-377,7143,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0301.82,20-377,1163,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
01-0301.82,20-449,1163,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
01-0301.82,20-424,1163,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
01-0303.21,20-503,4(a),PEND,Amend,,,Public Space Enforcement Amendment Act of 2014,61-12690
